payment_id,ride_id,user_id,amount,payment_method,payment_status,transaction_id,payment_time
62,62,9791,28.91,wallet,completed,TXN00000062,2025-01-29 10:00:00
63,63,7600,36.27,card,completed,TXN00000063,2025-09-01 16:07:00
64,64,7129,147.94,card,completed,TXN00000064,2024-01-14 18:01:00
65,65,4743,107.89,cash,completed,TXN00000065,2024-01-22 12:27:00
66,66,7120,145.66,card,refunded,TXN00000066,2024-10-05 05:30:00
67,67,8171,13.57,cash,completed,TXN00000067,2025-07-26 21:17:00
68,68,3386,103.72,card,completed,TXN00000068,2024-01-06 14:09:00
69,69,6751,15.16,cash,completed,TXN00000069,2025-03-24 22:58:00
70,70,8958,41.85,card,completed,TXN00000070,2024-03-19 20:22:00
71,71,4464,124.36,cash,completed,TXN00000071,2025-05-08 23:41:00
72,72,7765,78.37,cash,completed,TXN00000072,2025-01-16 01:20:00
73,73,9120,19.60,card,completed,TXN00000073,2025-11-12 09:46:00
74,74,4831,76.31,cash,completed,TXN00000074,2025-12-29 13:05:00
75,75,7913,85.42,cash,completed,TXN00000075,2025-02-16 07:07:00
76,76,7257,131.57,cash,completed,TXN00000076,2025-03-28 18:57:00
77,77,4756,26.62,card,completed,TXN00000077,2025-03-15 04:39:00
78,78,8210,119.34,card,completed,TXN00000078,2024-05-04 08:49:00
79,79,3885,25.71,wallet,completed,TXN00000079,2024-01-13 13:47:00
80,80,9822,22.24,cash,completed,TXN00000080,2025-09-23 18:18:00
81,81,3086,87.43,cash,completed,TXN00000081,2025-03-18 17:38:00
82,82,8435,61.34,wallet,completed,TXN00000082,2025-04-01 14:28:00
83,83,6737,104.21,card,completed,TXN00000083,2025-12-08 19:59:00
84,84,6876,34.03,card,completed,TXN00000084,2025-07-17 05:27:00
85,85,4993,35.20,wallet,refunded,TXN00000085,2025-04-24 12:56:00
86,86,8977,14.57,card,completed,TXN00000086,2025-01-05 05:26:00
87,87,4298,27.10,cash,completed,TXN00000087,2024-08-20 10:41:00
88,88,3358,138.70,card,completed,TXN00000088,2025-07-17 06:35:00
89,89,8217,85.14,cash,completed,TXN00000089,2024-01-19 00:57:00
90,90,5774,62.56,card,completed,TXN00000090,2024-12-12 12:38:00
91,91,9110,69.47,cash,completed,TXN00000091,2024-10-18 09:24:00
92,92,9352,131.55,wallet,completed,TXN00000092,2024-02-03 22:42:00
93,93,3305,86.80,cash,completed,TXN00000093,2024-07-20 16:28:00
94,94,9535,65.77,wallet,refunded,TXN00000094,2025-06-25 16:49:00
95,95,6265,126.05,cash,refunded,TXN00000095,2025-10-02 16:12:00
96,96,6524,98.59,wallet,refunded,TXN00000096,2025-10-30 07:18:00
97,97,6849,94.47,wallet,completed,TXN00000097,2025-04-01 08:24:00
98,98,5201,17.20,wallet,completed,TXN00000098,2025-09-12 00:28:00
99,99,5198,34.52,card,completed,TXN00000099,2024-07-11 09:20:00
100,100,6413,133.12,cash,completed,TXN00000100,2025-07-28 05:11:00
101,101,9950,41.08,wallet,refunded,TXN00000101,2024-12-19 21:36:00
102,102,3641,36.50,cash,completed,TXN00000102,2025-12-27 12:59:00
103,103,5202,61.18,card,completed,TXN00000103,2025-06-30 01:03:00
104,104,6407,146.64,wallet,completed,TXN00000104,2025-08-22 09:19:00
105,105,8338,106.58,card,completed,TXN00000105,2025-04-22 10:17:00
106,106,8483,30.05,wallet,completed,TXN00000106,2025-03-09 00:33:00
107,107,7506,57.61,card,completed,TXN00000107,2024-05-31 09:03:00
108,108,8396,117.60,cash,completed,TXN00000108,2024-01-19 23:00:00
109,109,3058,17.85,wallet,completed,TXN00000109,2025-10-22 15:11:00
110,110,7768,79.27,card,completed,TXN00000110,2024-12-06 14:04:00
111,111,4467,77.11,cash,completed,TXN00000111,2024-04-21 09:22:00
112,112,3604,40.94,cash,completed,TXN00000112,2025-03-08 18:00:00
113,113,9105,71.42,wallet,completed,TXN00000113,2024-02-09 01:27:00
114,114,7998,90.86,cash,completed,TXN00000114,2024-04-21 06:09:00
115,115,6073,91.09,card,completed,TXN00000115,2025-10-09 05:44:00
116,116,4312,85.26,cash,completed,TXN00000116,2024-03-11 17:26:00
117,117,3997,52.13,cash,completed,TXN00000117,2025-09-22 07:26:00
118,118,8973,80.44,cash,completed,TXN00000118,2025-04-07 21:30:00
119,119,3142,42.72,card,completed,TXN00000119,2025-12-28 05:56:00
120,120,9896,73.05,wallet,refunded,TXN00000120,2024-10-10 11:50:00
121,121,3028,126.31,cash,completed,TXN00000121,2024-07-25 02:37:00
122,122,4367,67.39,card,completed,TXN00000122,2024-01-07 19:57:00
123,123,4211,140.20,cash,completed,TXN00000123,2025-07-11 06:43:00
124,124,4982,99.05,card,completed,TXN00000124,2024-02-05 15:50:00
125,125,9803,102.28,wallet,completed,TXN00000125,2024-03-16 17:11:00
126,126,3189,27.14,wallet,refunded,TXN00000126,2024-08-26 09:32:00
127,127,7639,21.35,card,completed,TXN00000127,2025-11-22 20:50:00
128,128,5286,140.00,wallet,completed,TXN00000128,2025-06-13 03:47:00
129,129,5249,74.48,wallet,completed,TXN00000129,2024-10-29 23:04:00
130,130,3955,30.28,card,completed,TXN00000130,2025-02-24 04:15:00
131,131,7519,94.40,cash,completed,TXN00000131,2024-08-24 15:07:00
132,132,3351,62.63,cash,completed,TXN00000132,2024-06-18 19:21:00
133,133,8737,91.69,wallet,completed,TXN00000133,2025-11-05 21:55:00
134,134,8018,14.60,wallet,completed,TXN00000134,2024-07-14 11:45:00
135,135,8118,21.34,wallet,refunded,TXN00000135,2024-04-20 05:57:00
136,136,7259,16.22,card,completed,TXN00000136,2024-07-13 11:08:00
137,137,4881,50.96,cash,completed,TXN00000137,2025-11-19 19:48:00
138,138,3930,9.29,card,completed,TXN00000138,2025-02-04 18:39:00
139,139,9389,55.03,card,completed,TXN00000139,2024-07-20 15:53:00
140,140,8987,66.29,cash,refunded,TXN00000140,2025-12-27 00:25:00
141,141,5165,140.58,card,refunded,TXN00000141,2024-11-06 13:32:00
142,142,8774,82.32,wallet,refunded,TXN00000142,2025-07-26 20:47:00
143,143,4077,43.52,cash,completed,TXN00000143,2025-01-16 11:56:00
144,144,7517,123.91,card,completed,TXN00000144,2025-11-13 11:23:00
145,145,9945,12.15,cash,completed,TXN00000145,2024-09-19 11:17:00
146,146,8907,22.94,cash,completed,TXN00000146,2025-06-17 19:55:00
147,147,3391,103.53,card,completed,TXN00000147,2024-02-07 03:39:00
148,148,3332,88.56,card,completed,TXN00000148,2025-08-05 10:19:00
149,149,6032,12.38,wallet,completed,TXN00000149,2024-10-29 19:19:00
150,150,3601,116.98,wallet,refunded,TXN00000150,2025-09-29 02:10:00
151,151,9110,140.75,card,completed,TXN00000151,2025-04-28 09:18:00
152,152,3601,122.13,card,completed,TXN00000152,2025-07-21 05:59:00
153,153,5381,35.09,card,completed,TXN00000153,2024-09-16 13:25:00
154,154,3796,62.33,wallet,completed,TXN00000154,2025-04-15 06:35:00
155,155,4839,19.04,card,completed,TXN00000155,2024-10-24 10:39:00
156,156,8939,145.88,wallet,completed,TXN00000156,2024-08-29 22:34:00
157,157,3275,109.64,wallet,refunded,TXN00000157,2025-03-28 10:09:00
158,158,3839,140.51,cash,completed,TXN00000158,2025-09-11 16:29:00
159,159,3593,144.03,wallet,completed,TXN00000159,2025-12-14 03:37:00
160,160,3291,32.25,card,completed,TXN00000160,2024-09-01 06:23:00
161,161,9899,19.30,wallet,completed,TXN00000161,2024-04-07 21:55:00
162,162,4877,23.57,card,completed,TXN00000162,2024-01-27 16:12:00
163,163,6591,69.57,cash,refunded,TXN00000163,2025-03-17 20:16:00
164,164,7757,149.80,wallet,completed,TXN00000164,2025-12-07 12:24:00
165,165,9649,127.81,card,completed,TXN00000165,2024-05-23 02:54:00
166,166,6891,69.25,card,completed,TXN00000166,2024-04-21 14:38:00
167,167,9916,10.45,card,completed,TXN00000167,2025-04-03 17:04:00
168,168,5040,72.78,cash,completed,TXN00000168,2025-06-08 16:15:00
169,169,8310,121.32,cash,completed,TXN00000169,2025-01-10 17:57:00
170,170,7146,110.83,wallet,completed,TXN00000170,2025-01-01 20:20:00
171,171,4301,149.23,wallet,completed,TXN00000171,2025-03-06 09:04:00
172,172,8831,121.20,cash,completed,TXN00000172,2024-05-18 18:00:00
173,173,8145,146.96,wallet,refunded,TXN00000173,2025-03-14 21:23:00
174,174,4735,103.87,card,completed,TXN00000174,2025-04-05 15:06:00
175,175,3594,44.84,wallet,completed,TXN00000175,2024-02-08 15:37:00
176,176,6558,11.31,card,refunded,TXN00000176,2024-11-10 17:48:00
177,177,8022,58.37,wallet,refunded,TXN00000177,2024-02-15 05:14:00
178,178,8384,56.10,card,completed,TXN00000178,2024-02-23 02:35:00
179,179,4672,75.43,cash,completed,TXN00000179,2025-12-04 00:02:00
180,180,4717,135.50,card,refunded,TXN00000180,2025-10-08 10:01:00
181,181,6077,109.79,card,refunded,TXN00000181,2024-10-17 01:53:00
182,182,4751,113.22,cash,refunded,TXN00000182,2024-02-25 04:55:00
183,183,7299,78.35,wallet,refunded,TXN00000183,2024-04-18 12:43:00
184,184,6030,43.16,cash,completed,TXN00000184,2025-11-02 21:56:00
185,185,9536,48.14,cash,completed,TXN00000185,2024-11-07 18:56:00
186,186,7840,29.55,wallet,completed,TXN00000186,2024-11-27 02:42:00
187,187,7039,109.89,card,refunded,TXN00000187,2025-12-29 14:24:00
188,188,3533,144.57,cash,refunded,TXN00000188,2025-07-10 22:26:00
189,189,6338,90.73,cash,completed,TXN00000189,2024-04-15 10:11:00
190,190,6924,9.68,wallet,completed,TXN00000190,2025-04-20 12:22:00
191,191,7414,84.66,cash,completed,TXN00000191,2025-04-30 02:25:00
192,192,9225,74.30,wallet,completed,TXN00000192,2025-12-31 17:46:00
193,193,8956,40.54,card,refunded,TXN00000193,2025-09-01 02:50:00
194,194,4349,54.37,cash,completed,TXN00000194,2024-10-22 04:04:00
195,195,3029,109.55,cash,completed,TXN00000195,2024-02-14 20:56:00
196,196,4268,29.48,card,completed,TXN00000196,2025-01-02 01:09:00
197,197,8289,74.98,cash,completed,TXN00000197,2025-11-17 03:06:00
198,198,9605,11.93,wallet,completed,TXN00000198,2025-06-07 00:43:00
199,199,9810,123.74,card,completed,TXN00000199,2025-05-28 12:35:00
200,200,3637,32.88,card,completed,TXN00000200,2024-06-20 07:07:00
201,201,9188,124.69,card,completed,TXN00000201,2025-07-11 11:43:00
202,202,3312,132.87,cash,refunded,TXN00000202,2024-12-20 16:41:00
203,203,3722,105.35,card,completed,TXN00000203,2024-02-03 18:28:00
204,204,3750,78.39,wallet,completed,TXN00000204,2025-10-14 14:48:00
205,205,4017,13.17,wallet,refunded,TXN00000205,2025-12-03 05:03:00
206,206,6664,89.68,wallet,completed,TXN00000206,2025-12-01 11:11:00
207,207,3516,149.18,wallet,completed,TXN00000207,2025-02-22 21:02:00
208,208,8951,58.87,wallet,completed,TXN00000208,2024-05-02 20:33:00
209,209,9880,21.77,cash,completed,TXN00000209,2024-05-11 13:18:00
210,210,4957,102.36,wallet,completed,TXN00000210,2025-04-24 01:08:00
211,211,8995,101.88,cash,completed,TXN00000211,2025-07-22 15:12:00
212,212,8031,56.46,wallet,completed,TXN00000212,2024-06-08 19:13:00
213,213,4664,41.12,card,completed,TXN00000213,2024-07-26 08:48:00
214,214,3335,126.93,card,completed,TXN00000214,2025-05-19 21:21:00
215,215,7020,96.54,card,completed,TXN00000215,2025-05-14 09:42:00
216,216,8912,103.74,card,refunded,TXN00000216,2025-06-03 13:37:00
217,217,6429,50.15,cash,refunded,TXN00000217,2024-05-20 12:09:00
218,218,5417,62.70,wallet,refunded,TXN00000218,2024-01-27 11:47:00
219,219,6330,104.82,wallet,completed,TXN00000219,2024-05-24 11:34:00
220,220,6881,76.66,card,completed,TXN00000220,2024-04-03 16:11:00
221,221,5804,69.54,cash,completed,TXN00000221,2024-03-08 03:33:00
222,222,7814,21.31,wallet,completed,TXN00000222,2024-01-08 19:43:00
223,223,6510,39.98,wallet,completed,TXN00000223,2025-08-05 18:22:00
224,224,9215,44.01,cash,completed,TXN00000224,2024-12-30 12:55:00
225,225,9355,149.81,wallet,completed,TXN00000225,2024-08-01 17:20:00
226,226,3646,56.65,card,completed,TXN00000226,2024-07-15 18:28:00
227,227,7655,74.78,wallet,completed,TXN00000227,2025-01-07 12:37:00
228,228,7244,26.62,card,completed,TXN00000228,2024-10-27 23:00:00
229,229,3946,129.85,cash,completed,TXN00000229,2024-07-16 17:46:00
230,230,7566,28.57,cash,refunded,TXN00000230,2024-01-29 19:46:00
231,231,8295,105.58,cash,completed,TXN00000231,2025-06-29 09:01:00
232,232,4041,31.47,wallet,completed,TXN00000232,2025-11-17 05:31:00
233,233,5941,100.83,card,completed,TXN00000233,2025-10-10 22:55:00
234,234,4240,66.39,wallet,completed,TXN00000234,2024-07-06 06:24:00
235,235,4977,13.68,card,completed,TXN00000235,2025-07-15 08:43:00
236,236,5866,83.18,card,completed,TXN00000236,2025-01-06 12:07:00
237,237,6762,86.79,cash,completed,TXN00000237,2024-10-01 16:06:00
238,238,9172,138.59,wallet,completed,TXN00000238,2024-04-17 04:13:00
239,239,9235,72.69,wallet,completed,TXN00000239,2025-03-13 03:27:00
240,240,9501,70.06,card,completed,TXN00000240,2024-01-31 05:03:00
241,241,3014,101.86,card,completed,TXN00000241,2025-05-27 03:15:00
242,242,5096,15.54,card,completed,TXN00000242,2024-01-10 12:09:00
243,243,7253,28.73,cash,completed,TXN00000243,2025-02-24 11:17:00
244,244,6154,59.08,cash,completed,TXN00000244,2025-09-21 07:11:00
245,245,5972,73.78,wallet,completed,TXN00000245,2024-05-26 00:30:00
246,246,8587,37.82,card,completed,TXN00000246,2025-10-20 21:08:00
247,247,6424,17.85,card,completed,TXN00000247,2025-10-28 13:49:00
248,248,3375,104.46,cash,completed,TXN00000248,2025-07-17 09:42:00
249,249,7055,46.78,card,completed,TXN00000249,2024-08-17 02:09:00
250,250,8684,124.15,cash,completed,TXN00000250,2025-02-09 16:21:00
251,251,7551,89.86,card,refunded,TXN00000251,2025-05-01 04:49:00
252,252,4527,46.60,cash,completed,TXN00000252,2024-02-03 03:00:00
253,253,4804,52.37,wallet,completed,TXN00000253,2024-02-07 18:30:00
254,254,6606,61.83,wallet,completed,TXN00000254,2025-04-30 16:43:00
255,255,7293,48.49,wallet,completed,TXN00000255,2025-08-17 17:56:00
256,256,9812,93.30,cash,completed,TXN00000256,2024-03-07 16:14:00
257,257,4136,120.93,wallet,completed,TXN00000257,2024-12-25 10:58:00
258,258,3416,43.49,card,refunded,TXN00000258,2025-05-02 13:58:00
259,259,7104,125.05,card,completed,TXN00000259,2025-10-21 11:33:00
260,260,4834,63.69,card,refunded,TXN00000260,2025-04-21 09:15:00
261,261,8999,73.99,wallet,completed,TXN00000261,2024-04-26 14:58:00
262,262,3105,41.00,cash,completed,TXN00000262,2025-06-07 17:38:00
263,263,7628,85.86,card,refunded,TXN00000263,2024-10-09 05:34:00
264,264,6186,72.11,wallet,completed,TXN00000264,2025-01-21 10:07:00
265,265,6478,39.27,card,completed,TXN00000265,2024-05-05 16:04:00
266,266,3282,59.56,card,completed,TXN00000266,2024-05-28 16:28:00
267,267,9895,27.95,wallet,completed,TXN00000267,2024-07-30 18:09:00
268,268,9055,35.78,cash,completed,TXN00000268,2025-05-18 02:00:00
269,269,3284,137.03,cash,completed,TXN00000269,2024-05-30 20:27:00
270,270,7764,145.53,wallet,refunded,TXN00000270,2025-07-20 06:42:00
271,271,7072,111.70,cash,completed,TXN00000271,2024-08-27 21:23:00
272,272,9599,34.96,card,completed,TXN00000272,2024-12-27 22:03:00
273,273,3422,134.84,card,completed,TXN00000273,2024-01-30 06:47:00
274,274,8955,15.85,card,completed,TXN00000274,2024-01-23 05:48:00
275,275,7472,47.14,wallet,completed,TXN00000275,2025-04-22 16:41:00
276,276,8483,121.53,wallet,completed,TXN00000276,2024-05-29 07:00:00
277,277,5975,44.14,card,refunded,TXN00000277,2025-05-01 14:10:00
278,278,8558,129.02,wallet,completed,TXN00000278,2024-11-16 01:52:00
279,279,5635,106.33,wallet,refunded,TXN00000279,2025-02-03 09:39:00
280,280,3794,38.93,card,completed,TXN00000280,2024-05-07 12:48:00
281,281,9586,70.63,cash,completed,TXN00000281,2025-06-14 08:00:00
282,282,4669,123.04,cash,completed,TXN00000282,2025-08-04 12:39:00
283,283,4287,89.82,cash,completed,TXN00000283,2024-04-03 23:09:00
284,284,4010,51.84,card,completed,TXN00000284,2025-06-01 16:07:00
285,285,4486,68.37,wallet,refunded,TXN00000285,2024-04-16 23:59:00
286,286,9370,11.58,card,completed,TXN00000286,2024-05-20 19:30:00
287,287,9546,59.58,wallet,completed,TXN00000287,2024-04-17 14:52:00
288,288,5456,106.06,card,completed,TXN00000288,2024-12-15 15:00:00
289,289,9384,138.69,wallet,completed,TXN00000289,2025-12-31 08:56:00
290,290,4613,29.26,card,completed,TXN00000290,2025-08-23 21:02:00
291,291,5062,23.66,card,refunded,TXN00000291,2025-06-08 04:36:00
292,292,4954,56.51,cash,completed,TXN00000292,2025-09-21 15:10:00
293,293,7975,22.65,card,refunded,TXN00000293,2025-08-22 21:00:00
294,294,3838,42.34,cash,completed,TXN00000294,2024-06-29 17:45:00
295,295,9445,143.60,card,completed,TXN00000295,2025-08-08 00:41:00
296,296,8796,109.62,cash,completed,TXN00000296,2025-12-26 14:51:00
297,297,8419,72.65,cash,refunded,TXN00000297,2025-11-12 04:32:00
298,298,8901,15.41,cash,refunded,TXN00000298,2024-02-05 01:36:00
299,299,9897,31.25,cash,completed,TXN00000299,2024-11-16 08:23:00
300,300,8977,107.77,card,completed,TXN00000300,2025-10-29 08:36:00
301,301,6278,25.75,wallet,refunded,TXN00000301,2024-07-17 13:09:00
302,302,7764,30.03,cash,completed,TXN00000302,2024-01-13 19:20:00
303,303,8524,102.37,cash,completed,TXN00000303,2025-11-23 11:51:00
304,304,5931,43.79,card,completed,TXN00000304,2024-01-08 01:14:00
305,305,7879,136.37,cash,completed,TXN00000305,2024-07-22 21:24:00
306,306,8353,43.06,wallet,completed,TXN00000306,2024-12-26 21:08:00
307,307,3513,85.46,cash,completed,TXN00000307,2024-04-09 16:05:00
308,308,4729,97.10,cash,completed,TXN00000308,2024-09-05 18:33:00
309,309,4095,60.27,cash,completed,TXN00000309,2025-12-07 02:39:00
310,310,8025,113.06,card,completed,TXN00000310,2024-01-07 08:35:00
311,311,8042,145.36,wallet,completed,TXN00000311,2024-12-02 01:46:00
312,312,7530,77.11,cash,completed,TXN00000312,2025-11-15 08:20:00
313,313,5674,56.22,wallet,completed,TXN00000313,2025-06-20 02:00:00
314,314,3099,50.74,cash,completed,TXN00000314,2025-06-13 18:18:00
315,315,3429,16.51,card,refunded,TXN00000315,2025-04-18 06:47:00
316,316,5221,97.38,wallet,completed,TXN00000316,2025-10-03 01:31:00
317,317,6731,71.67,wallet,completed,TXN00000317,2025-10-12 22:28:00
318,318,6717,78.03,cash,completed,TXN00000318,2024-01-10 06:47:00
319,319,7748,17.89,cash,completed,TXN00000319,2024-12-05 15:32:00
320,320,6011,18.53,wallet,completed,TXN00000320,2024-07-05 10:50:00
321,321,8049,10.06,card,completed,TXN00000321,2025-06-04 14:33:00
322,322,7063,101.86,wallet,completed,TXN00000322,2025-08-18 10:59:00
323,323,7642,131.87,card,completed,TXN00000323,2024-08-01 13:18:00
324,324,7670,17.37,wallet,completed,TXN00000324,2025-05-23 09:45:00
325,325,5215,144.91,cash,completed,TXN00000325,2025-08-20 07:55:00
326,326,9874,92.25,card,completed,TXN00000326,2024-11-03 22:39:00
327,327,8852,129.96,card,refunded,TXN00000327,2024-01-31 22:18:00
328,328,9242,35.38,wallet,completed,TXN00000328,2025-02-27 06:48:00
329,329,3850,9.77,card,refunded,TXN00000329,2024-12-13 17:56:00
330,330,6002,100.53,cash,refunded,TXN00000330,2025-07-02 07:13:00
331,331,5540,51.01,cash,completed,TXN00000331,2025-02-08 03:07:00
332,332,8824,13.74,wallet,completed,TXN00000332,2024-06-15 16:33:00
333,333,8360,30.22,card,refunded,TXN00000333,2024-01-10 06:07:00
334,334,4309,147.34,cash,refunded,TXN00000334,2025-10-19 09:51:00
335,335,4648,15.58,wallet,refunded,TXN00000335,2024-02-19 02:34:00
336,336,8569,47.30,card,completed,TXN00000336,2025-12-06 18:46:00
337,337,7822,138.42,wallet,completed,TXN00000337,2024-01-21 04:17:00
338,338,8751,72.90,card,completed,TXN00000338,2024-04-26 21:58:00
339,339,4746,9.25,wallet,completed,TXN00000339,2024-09-13 18:59:00
340,340,5853,97.84,cash,completed,TXN00000340,2025-04-22 16:18:00
341,341,6750,87.53,wallet,completed,TXN00000341,2024-05-05 12:12:00
342,342,3170,70.91,cash,completed,TXN00000342,2024-08-03 19:19:00
343,343,3310,17.58,wallet,completed,TXN00000343,2024-10-30 09:51:00
344,344,7550,109.01,wallet,completed,TXN00000344,2024-11-10 03:08:00
345,345,4901,146.46,cash,completed,TXN00000345,2025-07-17 17:02:00
346,346,6447,48.00,card,refunded,TXN00000346,2025-12-30 16:35:00
347,347,7971,83.15,cash,completed,TXN00000347,2024-06-24 22:00:00
348,348,5069,46.93,cash,completed,TXN00000348,2024-12-18 23:42:00
349,349,4083,117.67,cash,completed,TXN00000349,2025-05-11 19:24:00
350,350,8385,94.29,cash,completed,TXN00000350,2025-11-03 00:16:00
351,351,9040,12.33,cash,completed,TXN00000351,2024-07-04 23:02:00
352,352,9235,134.91,cash,completed,TXN00000352,2024-01-25 13:10:00
353,353,6968,109.18,wallet,completed,TXN00000353,2025-11-11 21:50:00
354,354,7218,93.49,card,completed,TXN00000354,2024-06-13 05:46:00
355,355,7542,19.73,card,completed,TXN00000355,2024-07-10 07:14:00
356,356,5453,130.16,card,refunded,TXN00000356,2024-04-16 16:11:00
357,357,4420,17.75,wallet,completed,TXN00000357,2024-04-23 01:09:00
358,358,3406,106.92,card,completed,TXN00000358,2025-04-27 22:15:00
359,359,3170,28.97,card,completed,TXN00000359,2024-09-21 19:51:00
360,360,3320,44.84,wallet,completed,TXN00000360,2024-01-31 02:34:00
361,361,3704,137.08,card,refunded,TXN00000361,2024-08-13 18:57:00
362,362,4997,11.51,cash,completed,TXN00000362,2025-09-19 06:13:00
363,363,3411,25.35,cash,completed,TXN00000363,2024-06-03 23:28:00
364,364,4419,139.79,wallet,completed,TXN00000364,2025-05-27 11:35:00
365,365,7031,142.85,cash,completed,TXN00000365,2025-11-26 18:20:00
366,366,9350,43.66,wallet,completed,TXN00000366,2025-01-30 19:57:00
367,367,8372,132.40,card,refunded,TXN00000367,2024-11-11 11:30:00
368,368,9187,106.93,cash,refunded,TXN00000368,2024-11-20 21:54:00
369,369,6803,68.69,wallet,completed,TXN00000369,2024-05-07 00:47:00
370,370,6377,148.51,cash,completed,TXN00000370,2024-03-19 08:55:00
371,371,7278,129.71,card,refunded,TXN00000371,2025-04-11 11:54:00
372,372,6251,68.70,card,completed,TXN00000372,2024-06-21 07:54:00
373,373,8097,16.10,cash,refunded,TXN00000373,2024-09-24 12:03:00
374,374,9459,140.32,cash,refunded,TXN00000374,2024-02-01 13:30:00
