rating_id,ride_id,rider_id,driver_id,rating,comment,rated_at
44,44,4755,1251,2,Good ride,2024-12-28 18:00:00
45,45,9157,342,2,Smooth trip,2024-03-26 17:35:00
46,46,6583,928,3,Good ride,2024-06-23 20:27:00
47,47,9295,1073,4,Good ride,2025-08-25 16:43:00
48,48,5864,1408,1,Smooth trip,2024-03-25 09:24:00
49,49,4203,1755,2,Good ride,2024-08-15 16:41:00
50,50,8226,2592,5,Good ride,2025-12-07 15:16:00
51,51,4767,467,5,Smooth trip,2025-02-02 11:15:00
52,52,5903,1957,2,Good ride,2025-03-29 01:11:00
53,53,5999,1620,5,Good ride,2024-08-19 07:55:00
54,54,8970,1067,2,Smooth trip,2024-02-26 08:17:00
55,55,6729,936,5,Good ride,2024-02-02 02:50:00
56,56,7558,2850,2,Good ride,2025-02-07 21:29:00
57,57,9574,936,3,Smooth trip,2025-07-06 13:54:00
58,58,7704,332,3,Good ride,2025-08-05 11:19:00
59,59,4200,1816,4,Good ride,2025-08-05 08:21:00
60,60,8709,335,2,Smooth trip,2024-05-08 01:53:00
61,61,9864,2495,3,Good ride,2025-12-08 13:22:00
62,62,9791,2875,4,Good ride,2025-01-29 10:00:00
63,63,7600,620,1,Smooth trip,2025-09-01 16:07:00
64,64,7129,2177,4,Good ride,2024-01-14 18:01:00
65,65,4743,2303,5,Good ride,2024-01-22 12:27:00
66,66,7120,594,3,Smooth trip,2024-10-05 05:30:00
67,67,8171,848,2,Good ride,2025-07-26 21:17:00
68,68,3386,2456,5,Good ride,2024-01-06 14:09:00
69,69,6751,2757,5,Smooth trip,2025-03-24 22:58:00
70,70,8958,2904,4,Good ride,2024-03-19 20:22:00
71,71,4464,2637,5,Good ride,2025-05-08 23:41:00
72,72,7765,2713,5,Smooth trip,2025-01-16 01:20:00
73,73,9120,2381,3,Good ride,2025-11-12 09:46:00
74,74,4831,127,1,Good ride,2025-12-29 13:05:00
75,75,7913,488,5,Smooth trip,2025-02-16 07:07:00
76,76,7257,519,4,Good ride,2025-03-28 18:57:00
77,77,4756,1121,5,Good ride,2025-03-15 04:39:00
78,78,8210,1126,3,Smooth trip,2024-05-04 08:49:00
79,79,3885,2590,5,Good ride,2024-01-13 13:47:00
80,80,9822,2097,4,Good ride,2025-09-23 18:18:00
81,81,3086,615,2,Smooth trip,2025-03-18 17:38:00
82,82,8435,2923,2,Good ride,2025-04-01 14:28:00
83,83,6737,1549,4,Good ride,2025-12-08 19:59:00
84,84,6876,1864,5,Smooth trip,2025-07-17 05:27:00
85,85,4993,1207,4,Good ride,2025-04-24 12:56:00
86,86,8977,2761,2,Good ride,2025-01-05 05:26:00
87,87,4298,273,1,Smooth trip,2024-08-20 10:41:00
88,88,3358,195,5,Good ride,2025-07-17 06:35:00
89,89,8217,378,1,Good ride,2024-01-19 00:57:00
90,90,5774,41,2,Smooth trip,2024-12-12 12:38:00
91,91,9110,2226,5,Good ride,2024-10-18 09:24:00
92,92,9352,2920,1,Good ride,2024-02-03 22:42:00
93,93,3305,1117,5,Smooth trip,2024-07-20 16:28:00
94,94,9535,244,1,Good ride,2025-06-25 16:49:00
95,95,6265,984,3,Good ride,2025-10-02 16:12:00
96,96,6524,192,1,Smooth trip,2025-10-30 07:18:00
97,97,6849,973,1,Good ride,2025-04-01 08:24:00
98,98,5201,1575,3,Good ride,2025-09-12 00:28:00
99,99,5198,2512,1,Smooth trip,2024-07-11 09:20:00
100,100,6413,2687,5,Good ride,2025-07-28 05:11:00
101,101,9950,179,4,Good ride,2024-12-19 21:36:00
102,102,3641,1705,3,Smooth trip,2025-12-27 12:59:00
103,103,5202,2728,3,Good ride,2025-06-30 01:03:00
104,104,6407,393,5,Good ride,2025-08-22 09:19:00
105,105,8338,75,1,Smooth trip,2025-04-22 10:17:00
106,106,8483,2223,3,Good ride,2025-03-09 00:33:00
107,107,7506,2395,3,Good ride,2024-05-31 09:03:00
108,108,8396,78,1,Smooth trip,2024-01-19 23:00:00
109,109,3058,2669,4,Good ride,2025-10-22 15:11:00
110,110,7768,1421,5,Good ride,2024-12-06 14:04:00
111,111,4467,624,5,Smooth trip,2024-04-21 09:22:00
112,112,3604,2487,3,Good ride,2025-03-08 18:00:00
113,113,9105,2613,5,Good ride,2024-02-09 01:27:00
114,114,7998,167,2,Smooth trip,2024-04-21 06:09:00
115,115,6073,2582,4,Good ride,2025-10-09 05:44:00
116,116,4312,2556,3,Good ride,2024-03-11 17:26:00
117,117,3997,269,5,Smooth trip,2025-09-22 07:26:00
118,118,8973,35,3,Good ride,2025-04-07 21:30:00
119,119,3142,1552,4,Good ride,2025-12-28 05:56:00
120,120,9896,2640,2,Smooth trip,2024-10-10 11:50:00
121,121,3028,1795,4,Good ride,2024-07-25 02:37:00
122,122,4367,214,3,Good ride,2024-01-07 19:57:00
123,123,4211,2338,2,Smooth trip,2025-07-11 06:43:00
124,124,4982,704,2,Good ride,2024-02-05 15:50:00
125,125,9803,2280,3,Good ride,2024-03-16 17:11:00
126,126,3189,206,5,Smooth trip,2024-08-26 09:32:00
127,127,7639,1356,2,Good ride,2025-11-22 20:50:00
128,128,5286,2927,1,Good ride,2025-06-13 03:47:00
129,129,5249,2484,4,Smooth trip,2024-10-29 23:04:00
130,130,3955,2194,4,Good ride,2025-02-24 04:15:00
131,131,7519,2861,1,Good ride,2024-08-24 15:07:00
132,132,3351,782,2,Smooth trip,2024-06-18 19:21:00
133,133,8737,2678,1,Good ride,2025-11-05 21:55:00
134,134,8018,2843,1,Good ride,2024-07-14 11:45:00
135,135,8118,2416,4,Smooth trip,2024-04-20 05:57:00
136,136,7259,108,4,Good ride,2024-07-13 11:08:00
137,137,4881,2095,3,Good ride,2025-11-19 19:48:00
138,138,3930,2540,1,Smooth trip,2025-02-04 18:39:00
139,139,9389,2794,3,Good ride,2024-07-20 15:53:00
140,140,8987,1866,1,Good ride,2025-12-27 00:25:00
141,141,5165,1456,1,Smooth trip,2024-11-06 13:32:00
142,142,8774,1817,2,Good ride,2025-07-26 20:47:00
143,143,4077,2539,5,Good ride,2025-01-16 11:56:00
144,144,7517,2649,4,Smooth trip,2025-11-13 11:23:00
145,145,9945,694,3,Good ride,2024-09-19 11:17:00
146,146,8907,300,5,Good ride,2025-06-17 19:55:00
147,147,3391,609,5,Smooth trip,2024-02-07 03:39:00
148,148,3332,498,1,Good ride,2025-08-05 10:19:00
149,149,6032,397,1,Good ride,2024-10-29 19:19:00
150,150,3601,1697,2,Smooth trip,2025-09-29 02:10:00
151,151,9110,1595,4,Good ride,2025-04-28 09:18:00
152,152,3601,2654,4,Good ride,2025-07-21 05:59:00
153,153,5381,728,5,Smooth trip,2024-09-16 13:25:00
154,154,3796,358,5,Good ride,2025-04-15 06:35:00
155,155,4839,492,2,Good ride,2024-10-24 10:39:00
156,156,8939,596,5,Smooth trip,2024-08-29 22:34:00
157,157,3275,1926,2,Good ride,2025-03-28 10:09:00
158,158,3839,2000,2,Good ride,2025-09-11 16:29:00
159,159,3593,1471,4,Smooth trip,2025-12-14 03:37:00
160,160,3291,1245,3,Good ride,2024-09-01 06:23:00
161,161,9899,2915,2,Good ride,2024-04-07 21:55:00
162,162,4877,1723,4,Smooth trip,2024-01-27 16:12:00
163,163,6591,2148,2,Good ride,2025-03-17 20:16:00
164,164,7757,2020,5,Good ride,2025-12-07 12:24:00
165,165,9649,1452,2,Smooth trip,2024-05-23 02:54:00
166,166,6891,833,3,Good ride,2024-04-21 14:38:00
167,167,9916,1146,4,Good ride,2025-04-03 17:04:00
168,168,5040,1925,4,Smooth trip,2025-06-08 16:15:00
169,169,8310,2490,5,Good ride,2025-01-10 17:57:00
170,170,7146,958,5,Good ride,2025-01-01 20:20:00
171,171,4301,482,4,Smooth trip,2025-03-06 09:04:00
172,172,8831,619,5,Good ride,2024-05-18 18:00:00
173,173,8145,1914,1,Good ride,2025-03-14 21:23:00
174,174,4735,114,3,Smooth trip,2025-04-05 15:06:00
175,175,3594,2868,1,Good ride,2024-02-08 15:37:00
176,176,6558,116,2,Good ride,2024-11-10 17:48:00
177,177,8022,2875,3,Smooth trip,2024-02-15 05:14:00
178,178,8384,1067,5,Good ride,2024-02-23 02:35:00
179,179,4672,2628,4,Good ride,2025-12-04 00:02:00
180,180,4717,631,1,Smooth trip,2025-10-08 10:01:00
181,181,6077,2820,1,Good ride,2024-10-17 01:53:00
182,182,4751,75,4,Good ride,2024-02-25 04:55:00
183,183,7299,1577,4,Smooth trip,2024-04-18 12:43:00
184,184,6030,70,2,Good ride,2025-11-02 21:56:00
185,185,9536,492,5,Good ride,2024-11-07 18:56:00
186,186,7840,306,5,Smooth trip,2024-11-27 02:42:00
187,187,7039,2443,1,Good ride,2025-12-29 14:24:00
188,188,3533,1238,5,Good ride,2025-07-10 22:26:00
189,189,6338,2511,2,Smooth trip,2024-04-15 10:11:00
190,190,6924,1128,2,Good ride,2025-04-20 12:22:00
191,191,7414,1586,4,Good ride,2025-04-30 02:25:00
192,192,9225,2927,1,Smooth trip,2025-12-31 17:46:00
193,193,8956,749,2,Good ride,2025-09-01 02:50:00
194,194,4349,1737,2,Good ride,2024-10-22 04:04:00
195,195,3029,2901,4,Smooth trip,2024-02-14 20:56:00
196,196,4268,1540,1,Good ride,2025-01-02 01:09:00
197,197,8289,1119,5,Good ride,2025-11-17 03:06:00
198,198,9605,2533,4,Smooth trip,2025-06-07 00:43:00
199,199,9810,1202,5,Good ride,2025-05-28 12:35:00
200,200,3637,1241,3,Good ride,2024-06-20 07:07:00
201,201,9188,2309,3,Smooth trip,2025-07-11 11:43:00
202,202,3312,233,2,Good ride,2024-12-20 16:41:00
203,203,3722,2893,1,Good ride,2024-02-03 18:28:00
204,204,3750,798,2,Smooth trip,2025-10-14 14:48:00
205,205,4017,616,3,Good ride,2025-12-03 05:03:00
206,206,6664,382,2,Good ride,2025-12-01 11:11:00
207,207,3516,1156,3,Smooth trip,2025-02-22 21:02:00
208,208,8951,2256,5,Good ride,2024-05-02 20:33:00
209,209,9880,1663,2,Good ride,2024-05-11 13:18:00
210,210,4957,930,5,Smooth trip,2025-04-24 01:08:00
211,211,8995,22,2,Good ride,2025-07-22 15:12:00
212,212,8031,1778,4,Good ride,2024-06-08 19:13:00
213,213,4664,1160,3,Smooth trip,2024-07-26 08:48:00
214,214,3335,1371,2,Good ride,2025-05-19 21:21:00
215,215,7020,1536,3,Good ride,2025-05-14 09:42:00
216,216,8912,840,3,Smooth trip,2025-06-03 13:37:00
217,217,6429,1102,2,Good ride,2024-05-20 12:09:00
218,218,5417,250,4,Good ride,2024-01-27 11:47:00
219,219,6330,1010,1,Smooth trip,2024-05-24 11:34:00
220,220,6881,485,1,Good ride,2024-04-03 16:11:00
221,221,5804,542,3,Good ride,2024-03-08 03:33:00
222,222,7814,2029,1,Smooth trip,2024-01-08 19:43:00
223,223,6510,2217,1,Good ride,2025-08-05 18:22:00
224,224,9215,1841,2,Good ride,2024-12-30 12:55:00
225,225,9355,1491,3,Smooth trip,2024-08-01 17:20:00
226,226,3646,1277,2,Good ride,2024-07-15 18:28:00
227,227,7655,571,2,Good ride,2025-01-07 12:37:00
228,228,7244,1577,2,Smooth trip,2024-10-27 23:00:00
229,229,3946,678,1,Good ride,2024-07-16 17:46:00
230,230,7566,2394,1,Good ride,2024-01-29 19:46:00
231,231,8295,1910,2,Smooth trip,2025-06-29 09:01:00
232,232,4041,670,5,Good ride,2025-11-17 05:31:00
233,233,5941,141,2,Good ride,2025-10-10 22:55:00
234,234,4240,1308,5,Smooth trip,2024-07-06 06:24:00
235,235,4977,1409,5,Good ride,2025-07-15 08:43:00
236,236,5866,2218,4,Good ride,2025-01-06 12:07:00
237,237,6762,2802,2,Smooth trip,2024-10-01 16:06:00
238,238,9172,288,5,Good ride,2024-04-17 04:13:00
239,239,9235,2655,1,Good ride,2025-03-13 03:27:00
240,240,9501,2613,4,Smooth trip,2024-01-31 05:03:00
241,241,3014,227,3,Good ride,2025-05-27 03:15:00
242,242,5096,2142,5,Good ride,2024-01-10 12:09:00
243,243,7253,2686,5,Smooth trip,2025-02-24 11:17:00
244,244,6154,1131,4,Good ride,2025-09-21 07:11:00
245,245,5972,1232,3,Good ride,2024-05-26 00:30:00
246,246,8587,234,5,Smooth trip,2025-10-20 21:08:00
247,247,6424,600,1,Good ride,2025-10-28 13:49:00
248,248,3375,1949,5,Good ride,2025-07-17 09:42:00
249,249,7055,2106,2,Smooth trip,2024-08-17 02:09:00
250,250,8684,1656,3,Good ride,2025-02-09 16:21:00
251,251,7551,161,3,Good ride,2025-05-01 04:49:00
252,252,4527,792,2,Smooth trip,2024-02-03 03:00:00
253,253,4804,1254,5,Good ride,2024-02-07 18:30:00
254,254,6606,2596,4,Good ride,2025-04-30 16:43:00
255,255,7293,2883,3,Smooth trip,2025-08-17 17:56:00
256,256,9812,1456,5,Good ride,2024-03-07 16:14:00
257,257,4136,1315,1,Good ride,2024-12-25 10:58:00
258,258,3416,2713,4,Smooth trip,2025-05-02 13:58:00
259,259,7104,858,3,Good ride,2025-10-21 11:33:00
260,260,4834,2578,2,Good ride,2025-04-21 09:15:00
261,261,8999,1297,1,Smooth trip,2024-04-26 14:58:00
262,262,3105,2763,5,Good ride,2025-06-07 17:38:00
263,263,7628,1665,4,Good ride,2024-10-09 05:34:00
264,264,6186,314,4,Smooth trip,2025-01-21 10:07:00
265,265,6478,1333,4,Good ride,2024-05-05 16:04:00
266,266,3282,1204,4,Good ride,2024-05-28 16:28:00
267,267,9895,2761,5,Smooth trip,2024-07-30 18:09:00
268,268,9055,2712,1,Good ride,2025-05-18 02:00:00
269,269,3284,2601,3,Good ride,2024-05-30 20:27:00
270,270,7764,2794,3,Smooth trip,2025-07-20 06:42:00
271,271,7072,272,2,Good ride,2024-08-27 21:23:00
272,272,9599,2001,3,Good ride,2024-12-27 22:03:00
273,273,3422,2210,5,Smooth trip,2024-01-30 06:47:00
274,274,8955,387,1,Good ride,2024-01-23 05:48:00
275,275,7472,416,5,Good ride,2025-04-22 16:41:00
276,276,8483,2704,3,Smooth trip,2024-05-29 07:00:00
277,277,5975,2669,3,Good ride,2025-05-01 14:10:00
278,278,8558,570,4,Good ride,2024-11-16 01:52:00
279,279,5635,1383,1,Smooth trip,2025-02-03 09:39:00
280,280,3794,2444,1,Good ride,2024-05-07 12:48:00
281,281,9586,750,5,Good ride,2025-06-14 08:00:00
282,282,4669,1222,3,Smooth trip,2025-08-04 12:39:00
283,283,4287,495,4,Good ride,2024-04-03 23:09:00
284,284,4010,836,2,Good ride,2025-06-01 16:07:00
285,285,4486,269,1,Smooth trip,2024-04-16 23:59:00
286,286,9370,1597,5,Good ride,2024-05-20 19:30:00
287,287,9546,954,5,Good ride,2024-04-17 14:52:00
288,288,5456,1998,1,Smooth trip,2024-12-15 15:00:00
289,289,9384,1607,2,Good ride,2025-12-31 08:56:00
290,290,4613,2881,3,Good ride,2025-08-23 21:02:00
291,291,5062,82,3,Smooth trip,2025-06-08 04:36:00
292,292,4954,843,1,Good ride,2025-09-21 15:10:00
293,293,7975,2870,2,Good ride,2025-08-22 21:00:00
294,294,3838,2210,4,Smooth trip,2024-06-29 17:45:00
295,295,9445,2792,3,Good ride,2025-08-08 00:41:00
296,296,8796,1890,3,Good ride,2025-12-26 14:51:00
297,297,8419,2574,3,Smooth trip,2025-11-12 04:32:00
298,298,8901,1316,5,Good ride,2024-02-05 01:36:00
299,299,9897,2232,5,Good ride,2024-11-16 08:23:00
300,300,8977,316,3,Smooth trip,2025-10-29 08:36:00
301,301,6278,732,3,Good ride,2024-07-17 13:09:00
302,302,7764,1757,4,Good ride,2024-01-13 19:20:00
303,303,8524,1494,1,Smooth trip,2025-11-23 11:51:00
304,304,5931,1718,2,Good ride,2024-01-08 01:14:00
305,305,7879,836,5,Good ride,2024-07-22 21:24:00
306,306,8353,722,4,Smooth trip,2024-12-26 21:08:00
307,307,3513,151,3,Good ride,2024-04-09 16:05:00
308,308,4729,2393,4,Good ride,2024-09-05 18:33:00
309,309,4095,2289,1,Smooth trip,2025-12-07 02:39:00
310,310,8025,380,3,Good ride,2024-01-07 08:35:00
311,311,8042,1697,2,Good ride,2024-12-02 01:46:00
312,312,7530,2998,5,Smooth trip,2025-11-15 08:20:00
313,313,5674,2251,2,Good ride,2025-06-20 02:00:00
314,314,3099,1325,3,Good ride,2025-06-13 18:18:00
315,315,3429,153,3,Smooth trip,2025-04-18 06:47:00
316,316,5221,2737,1,Good ride,2025-10-03 01:31:00
317,317,6731,2002,1,Good ride,2025-10-12 22:28:00
318,318,6717,1761,3,Smooth trip,2024-01-10 06:47:00
319,319,7748,2763,5,Good ride,2024-12-05 15:32:00
320,320,6011,1992,4,Good ride,2024-07-05 10:50:00
321,321,8049,2625,1,Smooth trip,2025-06-04 14:33:00
322,322,7063,654,1,Good ride,2025-08-18 10:59:00
323,323,7642,2084,3,Good ride,2024-08-01 13:18:00
324,324,7670,749,2,Smooth trip,2025-05-23 09:45:00
325,325,5215,1451,1,Good ride,2025-08-20 07:55:00
326,326,9874,1321,2,Good ride,2024-11-03 22:39:00
327,327,8852,747,3,Smooth trip,2024-01-31 22:18:00
328,328,9242,2163,5,Good ride,2025-02-27 06:48:00
329,329,3850,2017,4,Good ride,2024-12-13 17:56:00
330,330,6002,1273,4,Smooth trip,2025-07-02 07:13:00
331,331,5540,1073,3,Good ride,2025-02-08 03:07:00
332,332,8824,2548,5,Good ride,2024-06-15 16:33:00
333,333,8360,28,1,Smooth trip,2024-01-10 06:07:00
334,334,4309,607,3,Good ride,2025-10-19 09:51:00
335,335,4648,1653,5,Good ride,2024-02-19 02:34:00
336,336,8569,1814,5,Smooth trip,2025-12-06 18:46:00
337,337,7822,476,3,Good ride,2024-01-21 04:17:00
338,338,8751,1926,4,Good ride,2024-04-26 21:58:00
339,339,4746,714,2,Smooth trip,2024-09-13 18:59:00
340,340,5853,1138,3,Good ride,2025-04-22 16:18:00
341,341,6750,784,1,Good ride,2024-05-05 12:12:00
342,342,3170,2172,1,Smooth trip,2024-08-03 19:19:00
343,343,3310,2289,4,Good ride,2024-10-30 09:51:00
344,344,7550,70,5,Good ride,2024-11-10 03:08:00
345,345,4901,2255,2,Smooth trip,2025-07-17 17:02:00
346,346,6447,2064,3,Good ride,2025-12-30 16:35:00
347,347,7971,2456,5,Good ride,2024-06-24 22:00:00
348,348,5069,295,3,Smooth trip,2024-12-18 23:42:00
349,349,4083,2827,1,Good ride,2025-05-11 19:24:00
350,350,8385,941,1,Good ride,2025-11-03 00:16:00
351,351,9040,1777,3,Smooth trip,2024-07-04 23:02:00
352,352,9235,2390,4,Good ride,2024-01-25 13:10:00
353,353,6968,1928,5,Good ride,2025-11-11 21:50:00
354,354,7218,2948,4,Smooth trip,2024-06-13 05:46:00
355,355,7542,218,3,Good ride,2024-07-10 07:14:00
356,356,5453,1308,3,Good ride,2024-04-16 16:11:00
357,357,4420,822,2,Smooth trip,2024-04-23 01:09:00
358,358,3406,1000,2,Good ride,2025-04-27 22:15:00
359,359,3170,999,1,Good ride,2024-09-21 19:51:00
360,360,3320,342,2,Smooth trip,2024-01-31 02:34:00
361,361,3704,2848,5,Good ride,2024-08-13 18:57:00
362,362,4997,584,4,Good ride,2025-09-19 06:13:00
363,363,3411,2880,5,Smooth trip,2024-06-03 23:28:00
364,364,4419,2881,2,Good ride,2025-05-27 11:35:00
365,365,7031,1155,5,Good ride,2025-11-26 18:20:00
366,366,9350,641,3,Smooth trip,2025-01-30 19:57:00
367,367,8372,2171,3,Good ride,2024-11-11 11:30:00
368,368,9187,1778,2,Good ride,2024-11-20 21:54:00
369,369,6803,429,3,Smooth trip,2024-05-07 00:47:00
370,370,6377,2789,5,Good ride,2024-03-19 08:55:00
371,371,7278,331,2,Good ride,2025-04-11 11:54:00
372,372,6251,2893,3,Smooth trip,2024-06-21 07:54:00
373,373,8097,2022,2,Good ride,2024-09-24 12:03:00
374,374,9459,2633,1,Good ride,2024-02-01 13:30:00
375,375,9515,727,2,Smooth trip,2025-03-15 11:43:00
376,376,6551,1972,1,Good ride,2025-12-25 09:05:00
377,377,6166,2710,3,Good ride,2025-04-19 19:07:00
378,378,8647,2481,5,Smooth trip,2024-02-04 06:35:00
379,379,6153,2023,5,Good ride,2025-08-18 00:49:00
380,380,4000,474,3,Good ride,2025-04-20 14:11:00
381,381,3911,308,3,Smooth trip,2024-01-04 17:43:00
382,382,8747,416,2,Good ride,2025-06-19 12:54:00
383,383,9740,2578,4,Good ride,2024-02-16 14:58:00
384,384,6355,1081,3,Smooth trip,2024-08-29 19:43:00
385,385,6749,573,1,Good ride,2024-01-15 05:59:00
386,386,5791,1279,5,Good ride,2025-04-09 12:13:00
387,387,9452,2126,4,Smooth trip,2024-04-11 04:31:00
388,388,3746,37,2,Good ride,2024-03-16 01:12:00
389,389,3372,2978,5,Good ride,2025-07-23 00:44:00
390,390,7461,1278,1,Smooth trip,2025-01-28 04:47:00
391,391,8429,2998,3,Good ride,2024-09-11 05:44:00
392,392,5681,1537,3,Good ride,2024-08-25 06:28:00
393,393,6793,2124,5,Smooth trip,2025-08-19 06:07:00
394,394,6811,2819,3,Good ride,2025-12-19 06:54:00
395,395,6343,1788,1,Good ride,2025-09-04 22:28:00
396,396,7271,98,5,Smooth trip,2025-01-22 09:10:00
397,397,9070,20,2,Good ride,2024-11-07 04:13:00
398,398,3176,2850,1,Good ride,2025-07-20 17:51:00
399,399,6248,67,5,Smooth trip,2024-07-03 15:04:00
400,400,4375,1653,3,Good ride,2025-10-31 21:01:00
401,401,8309,2347,2,Good ride,2024-03-02 12:50:00
402,402,8910,196,4,Smooth trip,2025-12-04 08:43:00
403,403,4457,466,3,Good ride,2025-04-20 05:46:00
404,404,8409,1845,4,Good ride,2025-08-05 04:22:00
405,405,5045,571,3,Smooth trip,2025-08-22 06:19:00
406,406,7841,71,5,Good ride,2025-01-20 07:36:00
407,407,3222,39,4,Good ride,2024-05-31 18:00:00
408,408,3585,1171,3,Smooth trip,2025-12-02 06:40:00
409,409,5105,1407,5,Good ride,2025-07-15 20:10:00
410,410,4976,2171,2,Good ride,2024-12-10 05:23:00
411,411,4090,2794,2,Smooth trip,2024-08-18 04:50:00
412,412,5389,932,5,Good ride,2025-02-04 10:39:00
413,413,4095,2721,2,Good ride,2024-07-12 23:37:00
414,414,8214,1588,1,Smooth trip,2025-09-19 07:34:00
415,415,3557,2673,4,Good ride,2025-08-12 20:13:00
416,416,8511,2020,5,Good ride,2024-05-28 03:49:00
417,417,4222,1972,3,Smooth trip,2025-03-26 16:56:00
418,418,9760,2985,3,Good ride,2025-03-31 07:06:00
419,419,7957,2069,5,Good ride,2024-04-21 13:33:00
420,420,8570,2601,5,Smooth trip,2024-11-04 04:33:00
421,421,6183,1445,4,Good ride,2025-04-06 10:49:00
422,422,6255,486,2,Good ride,2024-02-09 06:38:00
423,423,7620,2944,1,Smooth trip,2024-01-24 03:19:00
424,424,6422,1867,1,Good ride,2025-04-05 03:28:00
425,425,6025,2038,2,Good ride,2024-09-26 02:40:00
426,426,8115,2381,2,Smooth trip,2025-08-25 03:16:00
427,427,6103,866,4,Good ride,2025-11-28 12:46:00
428,428,7382,2345,3,Good ride,2024-09-21 22:54:00
429,429,4095,2127,2,Smooth trip,2025-12-23 12:09:00
430,430,8431,623,1,Good ride,2025-11-09 01:18:00
431,431,6396,2351,5,Good ride,2024-06-14 22:52:00
432,432,8416,2066,4,Smooth trip,2025-08-22 15:08:00
433,433,8426,2960,1,Good ride,2025-06-24 18:13:00
434,434,5200,574,5,Good ride,2025-06-04 16:15:00
435,435,3561,374,4,Smooth trip,2024-11-15 13:38:00
436,436,9388,43,4,Good ride,2024-03-26 15:03:00
437,437,3590,2816,3,Good ride,2024-09-20 11:25:00
438,438,3900,2866,2,Smooth trip,2025-12-02 17:58:00
439,439,4048,1769,3,Good ride,2024-02-29 16:36:00
440,440,9873,1741,2,Good ride,2024-02-28 21:52:00
441,441,7118,702,3,Smooth trip,2024-04-15 04:35:00
442,442,9616,1163,2,Good ride,2025-03-08 14:45:00
443,443,8728,2259,2,Good ride,2025-05-22 10:14:00
444,444,9452,2262,4,Smooth trip,2024-09-18 12:31:00
445,445,7604,2512,3,Good ride,2024-12-18 14:45:00
446,446,6841,2714,2,Good ride,2024-05-19 11:15:00
447,447,3852,890,3,Smooth trip,2025-03-08 05:09:00
448,448,4108,1276,1,Good ride,2024-07-06 17:01:00
449,449,7851,1023,5,Good ride,2024-10-19 18:02:00
450,450,5226,2018,4,Smooth trip,2024-03-09 10:38:00
451,451,5690,2551,5,Good ride,2025-10-06 09:19:00
452,452,5307,423,1,Good ride,2024-03-27 17:20:00
453,453,9904,714,1,Smooth trip,2025-09-04 07:32:00
454,454,5286,1382,2,Good ride,2025-06-06 14:42:00
455,455,7628,910,1,Good ride,2024-09-20 19:32:00
456,456,5573,1082,4,Smooth trip,2024-01-12 12:05:00
457,457,4152,2305,2,Good ride,2024-01-05 21:20:00
458,458,6344,601,3,Good ride,2025-08-15 15:26:00
459,459,4006,81,5,Smooth trip,2025-02-24 08:21:00
