ride_id,rider_id,driver_id,requested_at,pickup_time,dropoff_time,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,distance_km,fare,surge_multiplier,status,cancellation_reason
21,6476,1227,2025-04-07 06:36:00,2025-04-07 06:36:00,2025-04-07 06:36:00,45.569793,-98.562650,43.919955,-82.276475,31.92,50.51,1.83,completed,
22,5465,307,2025-03-18 21:50:00,2025-03-18 21:50:00,,45.332566,-99.632439,48.441807,-86.308568,30.44,25.21,1.37,cancelled,Rider cancelled
23,8089,341,2024-03-07 23:44:00,,,44.911060,-74.389282,46.495187,-111.185466,27.00,107.58,1.07,requested,
24,7725,1849,2025-05-28 05:27:00,2025-05-28 05:27:00,2025-05-28 05:27:00,45.968219,-87.172866,44.518641,-122.387158,36.64,19.96,2.38,completed,
25,9665,2629,2025-01-09 00:56:00,2025-01-09 00:56:00,2025-01-09 00:56:00,47.557183,-113.811147,45.852424,-85.857450,26.97,124.32,1.43,completed,
26,6493,1949,2025-07-27 07:01:00,2025-07-27 07:01:00,2025-07-27 07:01:00,46.243375,-108.470164,44.568921,-75.612115,15.60,24.23,2.39,completed,
27,7634,1783,2025-01-09 09:15:00,2025-01-09 09:15:00,,46.578352,-99.561777,49.150190,-89.059753,2.87,17.80,2.10,cancelled,Rider cancelled
28,7096,453,2024-04-04 16:19:00,2024-04-04 16:19:00,,46.270444,-104.054792,46.839734,-74.837864,37.66,46.58,1.28,cancelled,Rider cancelled
29,6101,874,2024-07-11 19:53:00,,,48.858577,-114.572249,46.310270,-78.320679,14.65,91.06,1.99,requested,
30,6846,473,2024-11-25 09:15:00,2024-11-25 09:15:00,2024-11-25 09:15:00,44.441767,-121.389954,44.822129,-75.386907,17.85,14.05,1.07,completed,
31,4156,1005,2024-07-04 09:12:00,2024-07-04 09:12:00,2024-07-04 09:12:00,47.026435,-93.363294,47.139791,-103.729937,22.20,53.43,1.19,completed,
32,4819,2366,2025-08-03 18:18:00,2025-08-03 18:18:00,2025-08-03 18:18:00,44.076462,-99.323124,49.085982,-93.020471,3.25,79.30,1.45,completed,
33,7201,752,2025-10-25 10:34:00,2025-10-25 10:34:00,2025-10-25 10:34:00,45.071260,-82.149311,47.391041,-79.144919,6.07,131.17,1.78,completed,
34,6702,188,2024-10-03 13:41:00,2024-10-03 13:41:00,,47.502412,-102.194222,47.781498,-93.282923,24.76,45.67,1.36,cancelled,Rider cancelled
35,5010,2041,2025-12-08 13:31:00,2025-12-08 13:31:00,2025-12-08 13:31:00,48.342711,-76.964607,46.003605,-119.696390,17.37,87.66,1.21,completed,
36,3377,1408,2024-09-11 10:28:00,2024-09-11 10:28:00,2024-09-11 10:28:00,45.106895,-109.002086,46.391889,-106.961334,44.47,10.88,1.17,completed,
37,3502,2861,2024-06-23 10:33:00,2024-06-23 10:33:00,2024-06-23 10:33:00,49.106309,-119.613137,45.586773,-121.978520,27.05,41.82,1.67,completed,
38,6865,1989,2024-04-05 05:09:00,2024-04-05 05:09:00,2024-04-05 05:09:00,43.636228,-81.484320,47.674820,-111.285330,43.20,81.96,1.90,completed,
39,9888,2402,2025-07-05 08:08:00,2025-07-05 08:08:00,2025-07-05 08:08:00,44.460011,-117.020670,44.378297,-111.231996,30.57,112.19,1.12,completed,
40,8348,186,2025-05-17 09:29:00,2025-05-17 09:29:00,2025-05-17 09:29:00,43.815505,-98.561609,44.773692,-116.073410,8.24,136.09,1.95,completed,
41,6985,1575,2024-08-17 22:32:00,2024-08-17 22:32:00,2024-08-17 22:32:00,43.736404,-87.079180,48.347597,-107.322834,21.85,27.68,1.42,completed,
42,4411,567,2024-10-19 16:25:00,2024-10-19 16:25:00,,44.396255,-102.136969,48.813622,-115.783001,39.03,99.12,1.33,cancelled,Rider cancelled
43,6103,181,2024-06-11 21:35:00,2024-06-11 21:35:00,2024-06-11 21:35:00,47.907458,-77.273147,47.331884,-114.242855,7.60,71.26,1.56,completed,
44,4755,1251,2024-12-28 18:00:00,2024-12-28 18:00:00,2024-12-28 18:00:00,47.386163,-89.828420,43.908209,-100.518145,2.11,123.41,1.76,completed,
45,9157,342,2024-03-26 17:35:00,2024-03-26 17:35:00,,47.594472,-94.656977,49.181330,-116.075160,33.19,130.59,1.21,cancelled,Rider cancelled
46,6583,928,2024-06-23 20:27:00,2024-06-23 20:27:00,2024-06-23 20:27:00,45.530352,-93.255964,45.611862,-116.372953,31.63,40.35,1.05,completed,
47,9295,1073,2025-08-25 16:43:00,2025-08-25 16:43:00,2025-08-25 16:43:00,47.021564,-121.406558,43.651342,-83.993282,8.75,40.73,1.66,completed,
48,5864,1408,2024-03-25 09:24:00,2024-03-25 09:24:00,2024-03-25 09:24:00,45.036916,-86.656648,45.276581,-109.613590,14.46,119.48,1.90,completed,
49,4203,1755,2024-08-15 16:41:00,2024-08-15 16:41:00,2024-08-15 16:41:00,46.704279,-115.070127,44.817468,-74.749161,12.16,38.27,1.73,completed,
50,8226,2592,2025-12-07 15:16:00,2025-12-07 15:16:00,2025-12-07 15:16:00,48.342462,-80.158453,46.307724,-106.288324,11.20,92.38,2.47,completed,
51,4767,467,2025-02-02 11:15:00,2025-02-02 11:15:00,2025-02-02 11:15:00,44.326996,-77.604699,44.937944,-76.580146,31.57,95.38,1.67,completed,
52,5903,1957,2025-03-29 01:11:00,2025-03-29 01:11:00,2025-03-29 01:11:00,44.110320,-80.082129,44.033562,-92.282680,4.82,84.67,2.36,completed,
53,5999,1620,2024-08-19 07:55:00,2024-08-19 07:55:00,2024-08-19 07:55:00,44.451306,-91.774912,48.042440,-106.462724,6.39,55.60,1.83,completed,
54,8970,1067,2024-02-26 08:17:00,2024-02-26 08:17:00,2024-02-26 08:17:00,43.974036,-78.700789,46.014349,-82.357373,7.11,140.74,1.95,completed,
55,6729,936,2024-02-02 02:50:00,2024-02-02 02:50:00,2024-02-02 02:50:00,48.993599,-96.358594,44.497204,-116.933261,19.92,145.72,2.44,completed,
56,7558,2850,2025-02-07 21:29:00,2025-02-07 21:29:00,2025-02-07 21:29:00,47.749773,-102.632269,44.813069,-85.922519,1.73,96.39,1.62,completed,
57,9574,936,2025-07-06 13:54:00,2025-07-06 13:54:00,2025-07-06 13:54:00,48.757508,-85.970815,46.404827,-100.685585,42.98,87.62,1.15,completed,
58,7704,332,2025-08-05 11:19:00,2025-08-05 11:19:00,2025-08-05 11:19:00,43.992548,-122.305207,47.024401,-97.083209,26.60,37.48,2.29,completed,
59,4200,1816,2025-08-05 08:21:00,2025-08-05 08:21:00,2025-08-05 08:21:00,45.603881,-116.813515,47.598291,-93.051784,38.32,113.69,1.29,completed,
60,8709,335,2024-05-08 01:53:00,2024-05-08 01:53:00,2024-05-08 01:53:00,48.309539,-87.131007,47.808424,-81.078625,37.82,118.81,1.30,completed,
61,9864,2495,2025-12-08 13:22:00,2025-12-08 13:22:00,2025-12-08 13:22:00,43.903450,-118.342370,46.681107,-104.305898,39.90,116.56,2.47,completed,
62,9791,2875,2025-01-29 10:00:00,2025-01-29 10:00:00,2025-01-29 10:00:00,47.918754,-82.340334,48.768916,-83.589743,27.62,28.91,1.93,completed,
63,7600,620,2025-09-01 16:07:00,2025-09-01 16:07:00,2025-09-01 16:07:00,45.965419,-122.265823,46.504159,-123.022968,21.03,36.27,1.24,completed,
64,7129,2177,2024-01-14 18:01:00,2024-01-14 18:01:00,2024-01-14 18:01:00,45.244463,-76.716293,44.581672,-95.208690,9.85,147.94,1.93,completed,
65,4743,2303,2024-01-22 12:27:00,2024-01-22 12:27:00,2024-01-22 12:27:00,46.451185,-91.125718,46.922606,-118.188139,8.08,107.89,1.47,completed,
66,7120,594,2024-10-05 05:30:00,2024-10-05 05:30:00,,44.857678,-102.280011,45.958756,-85.225802,1.92,145.66,2.36,cancelled,Rider cancelled
67,8171,848,2025-07-26 21:17:00,2025-07-26 21:17:00,2025-07-26 21:17:00,47.560785,-114.680522,44.220519,-86.077908,29.16,13.57,2.45,completed,
68,3386,2456,2024-01-06 14:09:00,2024-01-06 14:09:00,2024-01-06 14:09:00,46.293848,-97.617293,46.711212,-89.588002,13.39,103.72,1.23,completed,
69,6751,2757,2025-03-24 22:58:00,2025-03-24 22:58:00,2025-03-24 22:58:00,45.810629,-78.035462,47.322981,-111.218716,43.76,15.16,2.43,completed,
70,8958,2904,2024-03-19 20:22:00,2024-03-19 20:22:00,2024-03-19 20:22:00,47.103610,-116.261374,48.714395,-104.132319,33.71,41.85,1.71,completed,
71,4464,2637,2025-05-08 23:41:00,2025-05-08 23:41:00,2025-05-08 23:41:00,47.367185,-122.555815,48.879274,-82.883794,9.63,124.36,2.46,completed,
72,7765,2713,2025-01-16 01:20:00,2025-01-16 01:20:00,2025-01-16 01:20:00,45.057497,-107.860583,48.530949,-110.303608,10.77,78.37,2.38,completed,
73,9120,2381,2025-11-12 09:46:00,2025-11-12 09:46:00,2025-11-12 09:46:00,48.498713,-112.557250,45.866563,-83.511404,4.23,19.60,2.07,completed,
74,4831,127,2025-12-29 13:05:00,2025-12-29 13:05:00,2025-12-29 13:05:00,48.781055,-113.254990,44.427014,-81.415954,29.93,76.31,1.82,completed,
75,7913,488,2025-02-16 07:07:00,2025-02-16 07:07:00,2025-02-16 07:07:00,46.030331,-121.577240,48.187533,-84.050644,28.04,85.42,1.01,completed,
76,7257,519,2025-03-28 18:57:00,2025-03-28 18:57:00,2025-03-28 18:57:00,44.487839,-89.779137,48.814421,-111.666018,44.39,131.57,2.38,completed,
77,4756,1121,2025-03-15 04:39:00,2025-03-15 04:39:00,2025-03-15 04:39:00,49.095309,-116.161843,44.248123,-82.232702,40.98,26.62,1.63,completed,
78,8210,1126,2024-05-04 08:49:00,2024-05-04 08:49:00,2024-05-04 08:49:00,48.932270,-116.186351,48.596160,-105.145061,37.19,119.34,2.13,completed,
79,3885,2590,2024-01-13 13:47:00,2024-01-13 13:47:00,2024-01-13 13:47:00,47.135801,-105.448995,44.208314,-110.373273,14.28,25.71,1.81,completed,
80,9822,2097,2025-09-23 18:18:00,2025-09-23 18:18:00,2025-09-23 18:18:00,48.812026,-79.292255,47.479044,-95.014763,11.95,22.24,1.91,completed,
81,3086,615,2025-03-18 17:38:00,2025-03-18 17:38:00,2025-03-18 17:38:00,48.207820,-103.697176,48.429216,-95.626601,13.85,87.43,1.17,completed,
82,8435,2923,2025-04-01 14:28:00,2025-04-01 14:28:00,2025-04-01 14:28:00,47.495626,-117.507790,45.097882,-75.651175,36.09,61.34,1.96,completed,
83,6737,1549,2025-12-08 19:59:00,2025-12-08 19:59:00,2025-12-08 19:59:00,45.926877,-84.195160,46.712511,-77.496737,17.17,104.21,1.96,completed,
84,6876,1864,2025-07-17 05:27:00,2025-07-17 05:27:00,2025-07-17 05:27:00,47.480239,-102.793718,49.058706,-109.395298,32.47,34.03,2.07,completed,
85,4993,1207,2025-04-24 12:56:00,2025-04-24 12:56:00,,45.181002,-100.726866,46.683413,-114.682303,3.10,35.20,1.99,cancelled,Rider cancelled
86,8977,2761,2025-01-05 05:26:00,2025-01-05 05:26:00,2025-01-05 05:26:00,46.476739,-111.543758,44.235732,-110.080799,39.60,14.57,1.43,completed,
87,4298,273,2024-08-20 10:41:00,2024-08-20 10:41:00,2024-08-20 10:41:00,47.235672,-91.579049,49.089059,-82.952222,37.32,27.10,2.19,completed,
88,3358,195,2025-07-17 06:35:00,2025-07-17 06:35:00,2025-07-17 06:35:00,44.326630,-86.082370,44.596194,-109.857144,9.83,138.70,1.73,completed,
89,8217,378,2024-01-19 00:57:00,2024-01-19 00:57:00,2024-01-19 00:57:00,44.241980,-118.778889,45.554167,-113.503802,11.83,85.14,1.09,completed,
90,5774,41,2024-12-12 12:38:00,2024-12-12 12:38:00,2024-12-12 12:38:00,48.794264,-101.865157,44.419623,-117.099655,6.43,62.56,1.11,completed,
91,9110,2226,2024-10-18 09:24:00,2024-10-18 09:24:00,2024-10-18 09:24:00,43.806905,-103.867094,48.586933,-104.245358,32.07,69.47,1.95,completed,
92,9352,2920,2024-02-03 22:42:00,2024-02-03 22:42:00,2024-02-03 22:42:00,45.904501,-120.078594,45.483948,-116.623045,18.66,131.55,1.38,completed,
93,3305,1117,2024-07-20 16:28:00,2024-07-20 16:28:00,2024-07-20 16:28:00,44.436420,-90.882517,47.980105,-117.270436,7.36,86.80,1.66,completed,
94,9535,244,2025-06-25 16:49:00,2025-06-25 16:49:00,,47.872996,-122.890022,46.519384,-109.726893,16.22,65.77,1.90,cancelled,Rider cancelled
95,6265,984,2025-10-02 16:12:00,2025-10-02 16:12:00,,47.309239,-97.606604,47.233031,-113.946450,40.05,126.05,2.42,cancelled,Rider cancelled
96,6524,192,2025-10-30 07:18:00,,,48.993498,-115.517746,44.677311,-74.634141,3.47,98.59,1.06,requested,
97,6849,973,2025-04-01 08:24:00,2025-04-01 08:24:00,2025-04-01 08:24:00,48.632174,-102.362130,46.561353,-111.175753,20.11,94.47,1.66,completed,
98,5201,1575,2025-09-12 00:28:00,2025-09-12 00:28:00,2025-09-12 00:28:00,47.170781,-122.116243,45.418870,-93.791043,11.40,17.20,1.87,completed,
99,5198,2512,2024-07-11 09:20:00,2024-07-11 09:20:00,2024-07-11 09:20:00,47.544836,-119.844237,47.209937,-118.954560,28.17,34.52,1.84,completed,
100,6413,2687,2025-07-28 05:11:00,2025-07-28 05:11:00,2025-07-28 05:11:00,44.485275,-76.262706,45.417048,-106.642369,40.08,133.12,1.16,completed,
101,9950,179,2024-12-19 21:36:00,2024-12-19 21:36:00,,46.471647,-75.849599,43.717694,-104.123386,11.21,41.08,1.02,cancelled,Rider cancelled
102,3641,1705,2025-12-27 12:59:00,2025-12-27 12:59:00,2025-12-27 12:59:00,46.724774,-117.070328,48.794956,-80.163056,11.93,36.50,1.48,completed,
103,5202,2728,2025-06-30 01:03:00,2025-06-30 01:03:00,2025-06-30 01:03:00,44.751546,-114.357847,47.830368,-110.389697,12.74,61.18,1.77,completed,
104,6407,393,2025-08-22 09:19:00,2025-08-22 09:19:00,2025-08-22 09:19:00,48.006779,-79.678087,47.122446,-102.817645,5.99,146.64,1.92,completed,
105,8338,75,2025-04-22 10:17:00,2025-04-22 10:17:00,2025-04-22 10:17:00,47.091539,-88.856393,46.849422,-94.813806,20.31,106.58,1.92,completed,
106,8483,2223,2025-03-09 00:33:00,2025-03-09 00:33:00,2025-03-09 00:33:00,49.071156,-118.271459,45.460751,-80.667901,18.29,30.05,1.93,completed,
107,7506,2395,2024-05-31 09:03:00,2024-05-31 09:03:00,2024-05-31 09:03:00,48.585510,-101.437309,45.278846,-120.644206,19.03,57.61,1.59,completed,
108,8396,78,2024-01-19 23:00:00,2024-01-19 23:00:00,2024-01-19 23:00:00,44.540615,-117.575978,46.744434,-100.794014,20.61,117.60,2.04,completed,
109,3058,2669,2025-10-22 15:11:00,2025-10-22 15:11:00,2025-10-22 15:11:00,45.268602,-95.528187,47.277812,-119.121457,16.02,17.85,1.47,completed,
110,7768,1421,2024-12-06 14:04:00,2024-12-06 14:04:00,2024-12-06 14:04:00,43.866224,-81.154336,43.878819,-83.834557,39.04,79.27,1.94,completed,
111,4467,624,2024-04-21 09:22:00,2024-04-21 09:22:00,2024-04-21 09:22:00,48.134199,-77.415741,47.278303,-98.393025,17.92,77.11,1.52,completed,
112,3604,2487,2025-03-08 18:00:00,2025-03-08 18:00:00,2025-03-08 18:00:00,45.062404,-84.656997,43.624687,-109.533822,33.29,40.94,1.50,completed,
113,9105,2613,2024-02-09 01:27:00,2024-02-09 01:27:00,2024-02-09 01:27:00,47.199241,-76.858136,46.066012,-82.800331,27.86,71.42,1.40,completed,
114,7998,167,2024-04-21 06:09:00,2024-04-21 06:09:00,2024-04-21 06:09:00,49.074639,-105.971849,46.362258,-86.952185,13.82,90.86,1.29,completed,
115,6073,2582,2025-10-09 05:44:00,2025-10-09 05:44:00,2025-10-09 05:44:00,48.373573,-88.593283,44.017635,-112.186599,31.27,91.09,1.64,completed,
116,4312,2556,2024-03-11 17:26:00,2024-03-11 17:26:00,2024-03-11 17:26:00,45.424344,-78.741040,44.229710,-75.612766,30.14,85.26,1.51,completed,
117,3997,269,2025-09-22 07:26:00,2025-09-22 07:26:00,2025-09-22 07:26:00,45.273275,-113.995121,44.781233,-119.258069,39.39,52.13,2.23,completed,
118,8973,35,2025-04-07 21:30:00,2025-04-07 21:30:00,2025-04-07 21:30:00,44.968235,-92.194185,47.068531,-94.796670,24.47,80.44,1.99,completed,
119,3142,1552,2025-12-28 05:56:00,2025-12-28 05:56:00,2025-12-28 05:56:00,47.267948,-107.587155,44.810967,-106.199336,35.92,42.72,2.06,completed,
120,9896,2640,2024-10-10 11:50:00,2024-10-10 11:50:00,,43.936286,-116.734669,46.905244,-85.505931,10.20,73.05,1.78,cancelled,Rider cancelled
121,3028,1795,2024-07-25 02:37:00,2024-07-25 02:37:00,2024-07-25 02:37:00,45.167868,-78.570477,44.997737,-73.924716,20.85,126.31,1.27,completed,
122,4367,214,2024-01-07 19:57:00,2024-01-07 19:57:00,2024-01-07 19:57:00,48.248917,-118.161877,46.700415,-99.043882,39.82,67.39,2.25,completed,
123,4211,2338,2025-07-11 06:43:00,2025-07-11 06:43:00,2025-07-11 06:43:00,44.342271,-109.698183,43.953867,-104.443015,38.08,140.20,1.13,completed,
124,4982,704,2024-02-05 15:50:00,2024-02-05 15:50:00,2024-02-05 15:50:00,48.718520,-117.996938,46.773114,-79.313139,28.54,99.05,1.05,completed,
125,9803,2280,2024-03-16 17:11:00,2024-03-16 17:11:00,2024-03-16 17:11:00,47.039249,-122.280616,45.889461,-78.592650,29.29,102.28,1.64,completed,
126,3189,206,2024-08-26 09:32:00,2024-08-26 09:32:00,,48.048857,-101.558239,48.570460,-119.094249,4.02,27.14,1.69,cancelled,Rider cancelled
127,7639,1356,2025-11-22 20:50:00,2025-11-22 20:50:00,2025-11-22 20:50:00,44.976742,-112.760863,44.033544,-92.017380,29.69,21.35,1.11,completed,
128,5286,2927,2025-06-13 03:47:00,2025-06-13 03:47:00,2025-06-13 03:47:00,48.633331,-90.795067,44.158492,-104.805615,8.93,140.00,1.08,completed,
129,5249,2484,2024-10-29 23:04:00,2024-10-29 23:04:00,2024-10-29 23:04:00,44.325292,-78.228372,45.019214,-83.575259,25.27,74.48,1.94,completed,
130,3955,2194,2025-02-24 04:15:00,2025-02-24 04:15:00,2025-02-24 04:15:00,45.621264,-121.395435,43.781878,-81.901047,38.26,30.28,2.40,completed,
131,7519,2861,2024-08-24 15:07:00,2024-08-24 15:07:00,2024-08-24 15:07:00,45.989005,-107.215992,47.310162,-83.315533,40.22,94.40,2.48,completed,
132,3351,782,2024-06-18 19:21:00,2024-06-18 19:21:00,2024-06-18 19:21:00,45.012415,-90.738431,46.614517,-82.843370,4.16,62.63,1.74,completed,
133,8737,2678,2025-11-05 21:55:00,2025-11-05 21:55:00,2025-11-05 21:55:00,47.209649,-90.960957,44.347217,-99.092889,16.16,91.69,2.07,completed,
134,8018,2843,2024-07-14 11:45:00,2024-07-14 11:45:00,2024-07-14 11:45:00,44.748493,-115.424813,44.168337,-105.315671,30.16,14.60,1.91,completed,
135,8118,2416,2024-04-20 05:57:00,,,46.504197,-74.310120,48.143528,-97.217700,42.97,21.34,2.03,requested,
136,7259,108,2024-07-13 11:08:00,2024-07-13 11:08:00,2024-07-13 11:08:00,46.091165,-80.071580,43.987433,-78.782651,5.06,16.22,2.03,completed,
137,4881,2095,2025-11-19 19:48:00,2025-11-19 19:48:00,2025-11-19 19:48:00,46.211722,-105.309050,48.699110,-104.482264,23.95,50.96,1.37,completed,
138,3930,2540,2025-02-04 18:39:00,2025-02-04 18:39:00,2025-02-04 18:39:00,45.878873,-114.602142,44.595413,-82.657425,30.89,9.29,2.30,completed,
139,9389,2794,2024-07-20 15:53:00,2024-07-20 15:53:00,2024-07-20 15:53:00,49.048324,-106.100036,48.813846,-82.758067,23.80,55.03,2.04,completed,
140,8987,1866,2025-12-27 00:25:00,2025-12-27 00:25:00,,46.321629,-79.671488,44.790179,-84.885422,24.16,66.29,1.44,cancelled,Rider cancelled
141,5165,1456,2024-11-06 13:32:00,2024-11-06 13:32:00,,48.986689,-100.923456,48.586472,-119.892680,40.18,140.58,2.49,cancelled,Rider cancelled
142,8774,1817,2025-07-26 20:47:00,2025-07-26 20:47:00,,45.265957,-76.593088,46.204068,-101.109513,4.12,82.32,2.44,cancelled,Rider cancelled
143,4077,2539,2025-01-16 11:56:00,2025-01-16 11:56:00,2025-01-16 11:56:00,44.056924,-103.049347,44.655637,-92.933693,22.81,43.52,1.68,completed,
144,7517,2649,2025-11-13 11:23:00,2025-11-13 11:23:00,2025-11-13 11:23:00,45.853223,-76.702800,46.500191,-80.625375,41.73,123.91,1.67,completed,
145,9945,694,2024-09-19 11:17:00,2024-09-19 11:17:00,2024-09-19 11:17:00,48.470182,-113.792248,48.130543,-80.306834,7.56,12.15,2.28,completed,
146,8907,300,2025-06-17 19:55:00,2025-06-17 19:55:00,2025-06-17 19:55:00,44.277244,-79.402428,47.750490,-109.180666,28.07,22.94,2.12,completed,
147,3391,609,2024-02-07 03:39:00,2024-02-07 03:39:00,2024-02-07 03:39:00,48.278822,-89.810079,46.758028,-117.427709,30.17,103.53,1.88,completed,
148,3332,498,2025-08-05 10:19:00,2025-08-05 10:19:00,2025-08-05 10:19:00,46.018507,-99.202397,47.644481,-92.193500,40.92,88.56,2.39,completed,
149,6032,397,2024-10-29 19:19:00,2024-10-29 19:19:00,2024-10-29 19:19:00,44.137365,-93.848521,45.932366,-88.402586,32.27,12.38,2.20,completed,
150,3601,1697,2025-09-29 02:10:00,2025-09-29 02:10:00,,46.793186,-92.931527,48.029677,-87.341275,29.32,116.98,1.69,cancelled,Rider cancelled
151,9110,1595,2025-04-28 09:18:00,2025-04-28 09:18:00,2025-04-28 09:18:00,46.013391,-112.813976,43.511266,-78.925866,7.46,140.75,2.10,completed,
152,3601,2654,2025-07-21 05:59:00,2025-07-21 05:59:00,2025-07-21 05:59:00,46.839769,-89.425671,44.276993,-93.195764,2.23,122.13,1.61,completed,
153,5381,728,2024-09-16 13:25:00,2024-09-16 13:25:00,2024-09-16 13:25:00,46.537855,-76.005333,45.215934,-90.330220,42.05,35.09,2.47,completed,
154,3796,358,2025-04-15 06:35:00,2025-04-15 06:35:00,2025-04-15 06:35:00,43.986925,-112.510057,45.143488,-92.780578,14.79,62.33,1.41,completed,
155,4839,492,2024-10-24 10:39:00,2024-10-24 10:39:00,2024-10-24 10:39:00,44.671390,-78.022871,44.129496,-86.146590,42.02,19.04,1.63,completed,
156,8939,596,2024-08-29 22:34:00,2024-08-29 22:34:00,2024-08-29 22:34:00,47.049454,-121.496431,45.163346,-101.800255,38.61,145.88,1.58,completed,
157,3275,1926,2025-03-28 10:09:00,,,44.259758,-82.781396,46.513148,-80.108366,3.02,109.64,1.77,requested,
158,3839,2000,2025-09-11 16:29:00,2025-09-11 16:29:00,2025-09-11 16:29:00,48.792993,-77.532150,46.582069,-110.572653,4.58,140.51,2.48,completed,
159,3593,1471,2025-12-14 03:37:00,2025-12-14 03:37:00,2025-12-14 03:37:00,47.688725,-115.142430,45.332785,-122.500618,28.91,144.03,2.45,completed,
160,3291,1245,2024-09-01 06:23:00,2024-09-01 06:23:00,2024-09-01 06:23:00,43.823002,-79.935158,45.767139,-110.779286,8.16,32.25,1.58,completed,
161,9899,2915,2024-04-07 21:55:00,2024-04-07 21:55:00,2024-04-07 21:55:00,47.697147,-94.302184,48.155793,-95.219093,42.19,19.30,1.16,completed,
162,4877,1723,2024-01-27 16:12:00,2024-01-27 16:12:00,2024-01-27 16:12:00,45.708974,-83.535867,47.914984,-88.205151,21.13,23.57,1.66,completed,
163,6591,2148,2025-03-17 20:16:00,,,43.883270,-114.593506,45.664105,-118.499093,12.92,69.57,1.82,requested,
164,7757,2020,2025-12-07 12:24:00,2025-12-07 12:24:00,2025-12-07 12:24:00,43.733961,-101.074243,48.811708,-74.020405,41.07,149.80,1.21,completed,
165,9649,1452,2024-05-23 02:54:00,2024-05-23 02:54:00,2024-05-23 02:54:00,44.202983,-92.334343,46.031702,-90.854562,1.84,127.81,2.13,completed,
166,6891,833,2024-04-21 14:38:00,2024-04-21 14:38:00,2024-04-21 14:38:00,48.239863,-75.307008,47.039902,-95.658700,12.39,69.25,1.78,completed,
